2009-08-20 00:13:28,756 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\kavithaproject2\collaborationbackend\pom.xml
2009-08-20 00:13:41,392 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.niit:collaborationbackend:0.0.1-SNAPSHOT @ D:\kavithaproject2\collaborationbackend\pom.xml.
2009-08-20 00:13:45,519 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /collaborationbackend/src/main/java
2009-08-20 00:13:45,520 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /collaborationbackend/src/main/resources
2009-08-20 00:13:45,522 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /collaborationbackend/src/test/java
2009-08-20 00:13:58,285 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 29 sec
2009-08-20 00:14:00,619 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 00:14:00,787 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2009-08-20 00:14:00,792 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 00:14:00,794 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\kavithaproject2\collaborationbackend\src\test\resources
2009-08-20 00:14:04,790 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 00:14:04,795 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2009-08-20 00:14:04,798 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 00:14:04,799 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\kavithaproject2\collaborationbackend\src\test\resources
2009-08-20 00:20:19,077 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 00:20:19,096 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2009-08-20 00:20:19,102 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 00:20:19,103 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\kavithaproject2\collaborationbackend\src\test\resources
2009-08-20 00:54:32,768 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.niit:collaborationbackend:0.0.1-SNAPSHOT @ D:\kavithaproject2\collaborationbackend\pom.xml.
2009-08-20 00:54:37,854 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 00:54:37,861 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2009-08-20 00:54:37,867 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 00:54:37,869 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\kavithaproject2\collaborationbackend\src\test\resources
2009-08-20 00:54:37,870 [Worker-16] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of collaborationbackend
2009-08-20 00:54:37,872 [Worker-16] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for collaborationbackend
2009-08-20 00:54:37,889 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2009-08-20 00:54:39,686 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
